id,project_id,name,role
138,138,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
139,139,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
140,140,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
141,141,"Gabriel, Ute NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Kim, Jonathan NTNU – Norwegian University of Science and Technology ORCID 0000-0002-7926-6834 Taraldsen, Jonette NTNU - Norwegian University of Science and Technology ORCID 0009-0000-0859-7153",AUTHOR
142,142,"Johnson, Susanne G. Western Norway University of Applied Sciences ORCID 0000-0002-2500-8952 Olsen, Nina Rydland Western Norway University of Applied Sciences ORCID 0000-0002-5173-1597",AUTHOR
143,143,"Johnson, Susanne G. Western Norway University of Applied Sciences ORCID 0000-0002-2500-8952 Olsen, Nina Rydland Western Norway University of Applied Sciences ORCID 0000-0002-5173-1597",AUTHOR
144,144,"Johnson, Susanne G. Western Norway University of Applied Sciences ORCID 0000-0002-2500-8952 Olsen, Nina Rydland Western Norway University of Applied Sciences ORCID 0000-0002-5173-1597",AUTHOR
145,145,"Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532 Dahl, Tove Irene UiT The Arctic University of Norway Sørlie, Tore UiT The Arctic University of Norway Friborg, Oddgeir UiT The Arctic University of Norway",AUTHOR
146,146,"Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532 Dahl, Tove Irene UiT The Arctic University of Norway Sørlie, Tore UiT The Arctic University of Norway Friborg, Oddgeir UiT The Arctic University of Norway",AUTHOR
147,147,"Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532 Dahl, Tove Irene UiT The Arctic University of Norway Sørlie, Tore UiT The Arctic University of Norway Friborg, Oddgeir UiT The Arctic University of Norway",AUTHOR
148,148,"Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532 Dahl, Tove Irene UiT The Arctic University of Norway Sørlie, Tore UiT The Arctic University of Norway Friborg, Oddgeir UiT The Arctic University of Norway",AUTHOR
149,149,Telle-Wernersen Didrik University of South-Eastern Norway ORCID 0000-0003-2515-0681 Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
150,150,Telle-Wernersen Didrik University of South-Eastern Norway ORCID 0000-0003-2515-0681 Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
151,151,Telle-Wernersen Didrik University of South-Eastern Norway ORCID 0000-0003-2515-0681 Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
152,152,Telle-Wernersen Didrik University of South-Eastern Norway ORCID 0000-0003-2515-0681 Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
153,153,Telle-Wernersen Didrik University of South-Eastern Norway ORCID 0000-0003-2515-0681 Sandsleth Marit Gjone University of South-Eastern Norway,AUTHOR
154,154,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
155,155,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
156,156,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
157,157,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
158,158,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
159,159,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
160,160,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
161,161,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
162,162,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
163,163,Stein Dankert Kolstø University of Bergen ORCID 0000-0003-3131-0530 Matthias Stadler University of Bergen ORCID 0009-0002-8695-2733,AUTHOR
164,164,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology - ORCID:",AUTHOR
165,165,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology - ORCID:",AUTHOR
166,166,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology - ORCID:",AUTHOR
167,167,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology - ORCID:",AUTHOR
168,168,"Goll, Charlotte Bjørnskov UiT The Arctic University of Norway ORCID 0000-0003-4566-9165 Sørlie, Tore UiT The Arctic University of Norway ORCID 0000-0002-2592-802x Friborg, Oddgeir UiT The Arctic University of Norway ORCID 0000-0001-6629-0782 Ottosen, Karl Ottar UiT The Arctic University of Norway ORCID 0000-0002-7587-4859 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
169,169,"Goll, Charlotte Bjørnskov UiT The Arctic University of Norway ORCID 0000-0003-4566-9165 Sørlie, Tore UiT The Arctic University of Norway ORCID 0000-0002-2592-802x Friborg, Oddgeir UiT The Arctic University of Norway ORCID 0000-0001-6629-0782 Ottosen, Karl Ottar UiT The Arctic University of Norway ORCID 0000-0002-7587-4859 Sæle, Rannveig Grøm UiT The Arctic University of Norway ORCID 0000-0003-0834-5532",AUTHOR
170,170,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology",AUTHOR
171,171,"Lorås, Madeleine NTNU – Norwegian University of Science and Technology",AUTHOR
172,172,"Scott, Remi William UiT The Arctic University of Norway ORCID 0000-0002-6005-6482 Fredriksen, Knut UiT The Arctic University of Norway ORCID 0000-0002-9281-8007",AUTHOR
173,173,"Scott, Remi William UiT The Arctic University of Norway ORCID 0000-0002-6005-6482 Fredriksen, Knut UiT The Arctic University of Norway ORCID 0000-0002-9281-8007",AUTHOR
174,174,"Scott, Remi William UiT The Arctic University of Norway ORCID 0000-0002-6005-6482 Fredriksen, Knut UiT The Arctic University of Norway ORCID 0000-0002-9281-8007",AUTHOR
175,175,"Scott, Remi William UiT The Arctic University of Norway ORCID 0000-0002-6005-6482 Fredriksen, Knut UiT The Arctic University of Norway ORCID 0000-0002-9281-8007",AUTHOR
176,176,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092 Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Dahl, Tove I. UiT The Arctic University of Norway ORCID 0000-0002-8036-8627",AUTHOR
177,177,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092 Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Dahl, Tove I. UiT The Arctic University of Norway ORCID 0000-0002-8036-8627",AUTHOR
178,178,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092 Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Dahl, Tove I. UiT The Arctic University of Norway ORCID 0000-0002-8036-8627",AUTHOR
179,179,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092 Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Dahl, Tove I. UiT The Arctic University of Norway ORCID 0000-0002-8036-8627",AUTHOR
180,180,"Nierenberg, Ellen UiT The Arctic University of Norway ORCID 0000-0001-8666-8092 Låg, Torstein UiT The Arctic University of Norway ORCID 0000-0002-1325-5235 Dahl, Tove I. UiT The Arctic University of Norway ORCID 0000-0002-8036-8627",AUTHOR
181,181,Reierson Inger Åse University of South-Eastern Norway,AUTHOR
182,182,Reierson Inger Åse University of South-Eastern Norway,AUTHOR
183,183,Reierson Inger Åse University of South-Eastern Norway,AUTHOR
184,184,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
185,185,"Steen, Cathrine Wilhelmsen Inland Norway University of Applied Sciences, Inland Hospital Trust Söderström, Kerstin Inland Norway University of Applied Sciences, Inland Hospital Trust ORCID 0000-0002-6293-5675 Stensrud, Bjørn Inland Hospital Trust Nylund, Inger Beate Inland Norway University of Applied Sciences Siqveland, Johan Akershus University Hospital ORCID 0000-0002-0124-8484",AUTHOR
