id,project_id,keyword
596,158,sense-making
597,158,læring
598,158,dialog
599,158,naturfag 11. trinn
600,158,praktisk arbeid
601,158,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
602,159,Social Sciences
603,159,Other
604,159,Science Education
605,159,Education
606,159,upper secondary school
607,159,Language
608,159,practical work
609,159,sense-making
610,159,læring
611,159,dialog
612,159,naturfag 11. trinn
613,159,praktisk arbeid
614,159,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
615,160,Social Sciences
616,160,Other
617,160,Science Education
618,160,Education
619,160,upper secondary school
620,160,Language
621,160,practical work
622,160,sense-making
623,160,læring
624,160,dialog
625,160,naturfag 11. trinn
626,160,praktisk arbeid
627,160,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
628,161,Social Sciences
629,161,Other
630,161,Science Education
631,161,Education
632,161,upper secondary school
633,161,Language
634,161,practical work
635,161,sense-making
636,161,læring
637,161,dialog
638,161,naturfag 11. trinn
639,161,praktisk arbeid
640,161,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
641,162,Social Sciences
642,162,Other
643,162,Science Education
644,162,Education
645,162,upper secondary school
646,162,Language
647,162,practical work
648,162,sense-making
649,162,læring
650,162,dialog
651,162,naturfag 11. trinn
652,162,praktisk arbeid
653,162,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
654,163,Social Sciences
655,163,Other
656,163,Science Education
657,163,Education
658,163,upper secondary school
659,163,Language
660,163,practical work
661,163,sense-making
662,163,læring
663,163,dialog
664,163,naturfag 11. trinn
665,163,praktisk arbeid
666,163,Education upper secondary school Language practical work sense-making læring dialog naturfag 11. trinn praktisk arbeid
667,164,Computer and Information Science
668,164,Social Sciences
669,164,Other
670,164,computer science education
671,164,computing education
672,164,self reports
673,164,computer science education computing education self reports
674,165,Computer and Information Science
675,165,Social Sciences
676,165,Other
677,165,computer science education
678,165,computing education
679,165,self reports
680,165,computer science education computing education self reports
681,166,Computer and Information Science
682,166,Social Sciences
683,166,Other
684,166,computer science education
685,166,computing education
686,166,self reports
687,166,computer science education computing education self reports
688,167,Computer and Information Science
689,167,Social Sciences
690,167,Other
691,167,computer science education
692,167,computing education
